time,hs,t02,dp,fp,uwnd,vwnd,longitude,latitude
2018-10-01 00:00:00.000000000,1.7400001,4.83,72.0,0.12900001,-9.1,2.9,148.16676,-19.833273
2018-10-01 00:59:59.999986560,1.7440001,4.81,69.0,0.126,-9.1,2.9,148.16676,-19.833273
2018-10-01 02:00:00.000013440,1.746,4.79,69.0,0.123,-9.400001,2.6000001,148.16676,-19.833273
2018-10-01 03:00:00.000000000,1.748,4.7599998,69.0,0.120000005,-9.7,2.3,148.16676,-19.833273
2018-10-01 03:59:59.999986560,1.738,4.75,69.0,0.117000006,-9.6,2.4,148.16676,-19.833273
2018-10-01 05:00:00.000013440,1.7220001,4.73,66.0,0.113000005,-9.5,2.5,148.16676,-19.833273
2018-10-01 06:00:00.000000000,1.7040001,4.71,66.0,0.11100001,-9.400001,2.9,148.16676,-19.833273
2018-10-01 06:59:59.999986560,1.6860001,4.69,66.0,0.11000001,-9.1,3.7,148.16676,-19.833273
2018-10-01 08:00:00.000013440,1.6680001,4.68,66.0,0.11000001,-8.8,4.3,148.16676,-19.833273
2018-10-01 09:00:00.000000000,1.6660001,4.65,66.0,0.11100001,-9.0,4.7000003,148.16676,-19.833273
2018-10-01 09:59:59.999986560,1.6860001,4.63,66.0,0.11100001,-9.3,4.9,148.16676,-19.833273
2018-10-01 11:00:00.000013440,1.72,4.63,66.0,0.113000005,-9.5,4.9,148.16676,-19.833273
2018-10-01 12:00:00.000000000,1.7580001,4.66,71.0,0.116000004,-9.6,4.7000003,148.16676,-19.833273
2018-10-01 12:59:59.999986560,1.7820001,4.71,71.0,0.119,-9.6,4.3,148.16676,-19.833273
2018-10-01 14:00:00.000013440,1.7900001,4.74,71.0,0.120000005,-9.3,4.5,148.16676,-19.833273
2018-10-01 15:00:00.000000000,1.7900001,4.7599998,71.0,0.120000005,-9.2,4.7000003,148.16676,-19.833273
2018-10-01 15:59:59.999986560,1.7860001,4.77,72.0,0.119,-9.1,4.8,148.16676,-19.833273
2018-10-01 17:00:00.000013440,1.7780001,4.7799997,72.0,0.119,-9.0,4.8,148.16676,-19.833273
2018-10-01 18:00:00.000000000,1.7680001,4.7799997,72.0,0.11800001,-8.8,4.9,148.16676,-19.833273
2018-10-01 18:59:59.999986560,1.764,4.7799997,72.0,0.117000006,-8.900001,5.0,148.16676,-19.833273
2018-10-01 20:00:00.000013440,1.7500001,4.7999997,72.0,0.116000004,-8.2,5.0,148.16676,-19.833273
2018-10-01 21:00:00.000000000,1.738,4.81,68.0,0.115,-8.3,5.0,148.16676,-19.833273
2018-10-01 21:59:59.999986560,1.738,4.7999997,68.0,0.115,-8.6,4.7000003,148.16676,-19.833273
2018-10-01 23:00:00.000013440,1.7400001,4.7999997,68.0,0.11400001,-8.8,4.4,148.16676,-19.833273
2018-10-02 00:00:00.000000000,1.746,4.79,69.0,0.11400001,-9.1,3.9,148.16676,-19.833273
2018-10-02 00:59:59.999986560,1.7360001,4.81,69.0,0.11400001,-8.7,3.6000001,148.16676,-19.833273
2018-10-02 02:00:00.000013440,1.7220001,4.79,69.0,0.11400001,-9.1,3.2,148.16676,-19.833273
2018-10-02 03:00:00.000000000,1.7240001,4.72,69.0,0.113000005,-9.8,3.1000001,148.16676,-19.833273
2018-10-02 03:59:59.999986560,1.7360001,4.66,69.0,0.113000005,-10.1,3.4,148.16676,-19.833273
2018-10-02 05:00:00.000013440,1.746,4.61,69.0,0.113000005,-10.3,3.8,148.16676,-19.833273
2018-10-02 06:00:00.000000000,1.738,4.58,69.0,0.113000005,-10.0,4.3,148.16676,-19.833273
2018-10-02 06:59:59.999986560,1.6780001,4.6,69.0,0.11400001,-8.6,4.2000003,148.16676,-19.833273
2018-10-02 08:00:00.000013440,1.6020001,4.5899997,70.0,0.11400001,-8.1,4.5,148.16676,-19.833273
2018-10-02 09:00:00.000000000,1.5400001,4.56,70.0,0.11400001,-7.7000003,4.7000003,148.16676,-19.833273
2018-10-02 09:59:59.999986560,1.496,4.52,70.0,0.11400001,-7.6,4.6,148.16676,-19.833273
2018-10-02 11:00:00.000013440,1.4640001,4.5099998,70.0,0.115,-7.3,4.4,148.16676,-19.833273
2018-10-02 12:00:00.000000000,1.4360001,4.52,74.0,0.117000006,-6.9,4.3,148.16676,-19.833273
2018-10-02 12:59:59.999986560,1.416,4.5499997,75.0,0.119,-6.6,4.2000003,148.16676,-19.833273
2018-10-02 14:00:00.000013440,1.394,4.5699997,75.0,0.12100001,-6.1,4.2000003,148.16676,-19.833273
2018-10-02 15:00:00.000000000,1.3720001,4.5899997,75.0,0.12200001,-5.9,4.3,148.16676,-19.833273
2018-10-02 15:59:59.999986560,1.35,4.58,75.0,0.12200001,-5.8,4.2000003,148.16676,-19.833273
2018-10-02 17:00:00.000013440,1.3280001,4.58,75.0,0.123,-5.7000003,4.2000003,148.16676,-19.833273
2018-10-02 18:00:00.000000000,1.3060001,4.5699997,75.0,0.123,-5.5,4.2000003,148.16676,-19.833273
2018-10-02 18:59:59.999986560,1.2820001,4.5699997,75.0,0.123,-5.0,4.4,148.16676,-19.833273
2018-10-02 20:00:00.000013440,1.2520001,4.58,75.0,0.123,-4.6,4.4,148.16676,-19.833273
2018-10-02 21:00:00.000000000,1.222,4.58,75.0,0.124000005,-4.5,4.3,148.16676,-19.833273
2018-10-02 21:59:59.999986560,1.194,4.5499997,75.0,0.124000005,-5.3,3.5,148.16676,-19.833273
2018-10-02 23:00:00.000013440,1.1700001,4.5,75.0,0.124000005,-5.8,2.7,148.16676,-19.833273
2018-10-03 00:00:00.000000000,1.1520001,4.41,75.0,0.124000005,-6.5,1.8000001,148.16676,-19.833273
2018-10-03 00:59:59.999986560,1.1520001,4.2799997,75.0,0.124000005,-7.3,1.2,148.16676,-19.833273
2018-10-03 02:00:00.000013440,1.1620001,4.18,75.0,0.124000005,-7.7000003,1.0,148.16676,-19.833273
2018-10-03 03:00:00.000000000,1.174,4.11,75.0,0.124000005,-8.0,0.8,148.16676,-19.833273
2018-10-03 03:59:59.999986560,1.1700001,4.08,75.0,0.124000005,-7.8,0.8,148.16676,-19.833273
2018-10-03 05:00:00.000013440,1.1520001,4.0699997,75.0,0.124000005,-7.5,0.90000004,148.16676,-19.833273
2018-10-03 06:00:00.000000000,1.12,4.0699997,75.0,0.125,-7.2000003,1.0,148.16676,-19.833273
2018-10-03 06:59:59.999986560,1.082,4.08,75.0,0.125,-6.7000003,0.90000004,148.16676,-19.833273
2018-10-03 08:00:00.000013440,1.046,4.0699997,75.0,0.126,-6.6,1.1,148.16676,-19.833273
2018-10-03 09:00:00.000000000,1.018,4.0499997,75.0,0.126,-6.5,1.2,148.16676,-19.833273
2018-10-03 09:59:59.999986560,0.98800004,4.06,76.0,0.126,-6.0,1.3000001,148.16676,-19.833273
2018-10-03 11:00:00.000013440,0.95800006,4.0899997,78.0,0.127,-5.6,1.3000001,148.16676,-19.833273
2018-10-03 12:00:00.000000000,0.924,4.15,78.0,0.12900001,-5.1,1.3000001,148.16676,-19.833273
2018-10-03 12:59:59.999986560,0.896,4.18,78.0,0.13000001,-5.1,0.90000004,148.16676,-19.833273
2018-10-03 14:00:00.000013440,0.87000006,4.21,78.0,0.13100001,-4.9,0.90000004,148.16676,-19.833273
2018-10-03 15:00:00.000000000,0.84400004,4.27,78.0,0.132,-4.5,0.90000004,148.16676,-19.833273
2018-10-03 15:59:59.999986560,0.82000005,4.3199997,78.0,0.133,-4.3,0.8,148.16676,-19.833273
2018-10-03 17:00:00.000013440,0.79800004,4.39,78.0,0.134,-4.0,0.8,148.16676,-19.833273
2018-10-03 18:00:00.000000000,0.77400005,4.47,78.0,0.135,-3.6000001,1.0,148.16676,-19.833273
2018-10-03 18:59:59.999986560,0.75200003,4.5299997,78.0,0.136,-3.2,2.1000001,148.16676,-19.833273
2018-10-03 20:00:00.000013440,0.73200005,4.58,78.0,0.13800001,-2.8,2.5,148.16676,-19.833273
2018-10-03 21:00:00.000000000,0.712,4.63,75.0,0.14,-2.3,2.8,148.16676,-19.833273
2018-10-03 21:59:59.999986560,0.69200003,4.68,75.0,0.141,-2.6000001,2.3,148.16676,-19.833273
2018-10-03 23:00:00.000013440,0.674,4.71,75.0,0.143,-2.7,1.9,148.16676,-19.833273
2018-10-04 00:00:00.000000000,0.656,4.73,74.0,0.14400001,-3.0,1.1,148.16676,-19.833273
2018-10-04 00:59:59.999986560,0.642,4.74,74.0,0.14500001,-3.6000001,-0.1,148.16676,-19.833273
2018-10-04 02:00:00.000013440,0.63000005,4.71,74.0,0.14600001,-3.8,-1.2,148.16676,-19.833273
2018-10-04 03:00:00.000000000,0.624,4.63,74.0,0.147,-3.7,-2.1000001,148.16676,-19.833273
2018-10-04 03:59:59.999986560,0.62,4.54,74.0,0.148,-3.6000001,-2.5,148.16676,-19.833273
2018-10-04 05:00:00.000013440,0.62,4.44,74.0,0.15,-3.7,-2.7,148.16676,-19.833273
2018-10-04 06:00:00.000000000,0.61600006,4.37,75.0,0.15100001,-3.7,-2.7,148.16676,-19.833273
2018-10-04 06:59:59.999986560,0.60800004,4.39,75.0,0.15200001,-3.4,-2.6000001,148.16676,-19.833273
2018-10-04 08:00:00.000013440,0.59800005,4.49,75.0,0.15200001,-3.1000001,-2.4,148.16676,-19.833273
2018-10-04 09:00:00.000000000,0.588,4.5899997,75.0,0.15300001,-2.9,-2.3,148.16676,-19.833273
2018-10-04 09:59:59.999986560,0.578,4.63,72.0,0.155,-3.1000001,-2.3,148.16676,-19.833273
2018-10-04 11:00:00.000013440,0.57000005,4.5699997,72.0,0.156,-3.4,-2.4,148.16676,-19.833273
2018-10-04 12:00:00.000000000,0.56600004,4.29,72.0,0.157,-3.8,-2.7,148.16676,-19.833273
2018-10-04 12:59:59.999986560,0.568,4.0099998,72.0,0.158,-3.4,-2.8,148.16676,-19.833273
2018-10-04 14:00:00.000013440,0.578,3.75,72.0,0.158,-3.8,-3.5,148.16676,-19.833273
2018-10-04 15:00:00.000000000,0.59800005,3.54,73.0,0.15900001,-3.7,-4.1,148.16676,-19.833273
2018-10-04 15:59:59.999986560,0.61800003,3.49,73.0,0.16000001,-3.0,-4.1,148.16676,-19.833273
2018-10-04 17:00:00.000013440,0.634,3.49,74.0,0.16100001,-2.2,-4.3,148.16676,-19.833273
2018-10-04 18:00:00.000000000,0.646,3.51,74.0,0.162,-1.6,-4.2000003,148.16676,-19.833273
2018-10-04 18:59:59.999986560,0.65000004,3.58,74.0,0.165,-0.7,-3.7,148.16676,-19.833273
2018-10-04 20:00:00.000013440,0.648,3.6399999,74.0,0.16800001,-0.4,-3.5,148.16676,-19.833273
2018-10-04 21:00:00.000000000,0.642,3.6899998,71.0,0.177,-0.7,-3.3,148.16676,-19.833273
2018-10-04 21:59:59.999986560,0.63000005,3.73,62.0,0.20500001,-0.7,-3.5,148.16676,-19.833273
2018-10-04 23:00:00.000013440,0.614,3.73,68.0,0.202,-0.7,-3.9,148.16676,-19.833273
2018-10-05 00:00:00.000000000,0.6,3.6799998,68.0,0.19700001,-0.7,-4.5,148.16676,-19.833273
2018-10-05 00:59:59.999986560,0.59000003,3.5,71.0,0.186,0.0,-5.3,148.16676,-19.833273
2018-10-05 02:00:00.000013440,0.59000003,3.3,71.0,0.17600001,0.1,-5.8,148.16676,-19.833273
2018-10-05 03:00:00.000000000,0.596,3.1999998,73.0,0.16800001,0.1,-6.2000003,148.16676,-19.833273
2018-10-05 03:59:59.999986560,0.61,3.1399999,73.0,0.16600001,-0.1,-6.7000003,148.16676,-19.833273
2018-10-05 05:00:00.000013440,0.624,3.09,74.0,0.165,-0.3,-6.9,148.16676,-19.833273
2018-10-05 06:00:00.000000000,0.63000005,3.08,10.0,0.30400002,-0.5,-6.7000003,148.16676,-19.833273
2018-10-05 06:59:59.999986560,0.606,3.1299999,74.0,0.163,-0.7,-5.5,148.16676,-19.833273
2018-10-05 08:00:00.000013440,0.574,3.1899998,75.0,0.163,-0.90000004,-4.9,148.16676,-19.833273
2018-10-05 09:00:00.000000000,0.55,3.24,75.0,0.164,-1.4,-4.6,148.16676,-19.833273
2018-10-05 09:59:59.999986560,0.53800005,3.26,75.0,0.164,-2.0,-4.2000003,148.16676,-19.833273
2018-10-05 11:00:00.000013440,0.532,3.29,75.0,0.165,-2.2,-3.8,148.16676,-19.833273
2018-10-05 12:00:00.000000000,0.53000003,3.34,76.0,0.16600001,-2.0,-3.4,148.16676,-19.833273
2018-10-05 12:59:59.999986560,0.53000003,3.3999999,76.0,0.16700001,-2.6000001,-2.5,148.16676,-19.833273
2018-10-05 14:00:00.000013440,0.528,3.4399998,76.0,0.16800001,-2.2,-2.6000001,148.16676,-19.833273
2018-10-05 15:00:00.000000000,0.528,3.48,76.0,0.16800001,-1.9,-2.8,148.16676,-19.833273
2018-10-05 15:59:59.999986560,0.528,3.52,40.0,0.266,-1.4,-2.9,148.16676,-19.833273
2018-10-05 17:00:00.000013440,0.526,3.55,40.0,0.25800002,-0.90000004,-3.0,148.16676,-19.833273
2018-10-05 18:00:00.000000000,0.52400005,3.58,40.0,0.25300002,-0.4,-2.9,148.16676,-19.833273
2018-10-05 18:59:59.999986560,0.522,3.62,41.0,0.24800001,-0.8,-2.6000001,148.16676,-19.833273
2018-10-05 20:00:00.000013440,0.522,3.6499999,52.0,0.24000001,-0.90000004,-2.3,148.16676,-19.833273
2018-10-05 21:00:00.000000000,0.522,3.6899998,53.0,0.23300001,-0.90000004,-2.1000001,148.16676,-19.833273
2018-10-05 21:59:59.999986560,0.522,3.73,53.0,0.22800002,-1.0,-2.8,148.16676,-19.833273
2018-10-05 23:00:00.000013440,0.52400005,3.77,61.0,0.224,-1.0,-3.2,148.16676,-19.833273
2018-10-06 00:00:00.000000000,0.526,3.79,60.0,0.22100002,-0.90000004,-3.8,148.16676,-19.833273
2018-10-06 00:59:59.999986560,0.528,3.73,60.0,0.21900001,-1.3000001,-4.4,148.16676,-19.833273
2018-10-06 02:00:00.000013440,0.53800005,3.48,59.0,0.21800001,-1.4,-5.2000003,148.16676,-19.833273
2018-10-06 03:00:00.000000000,0.57000005,3.1699998,59.0,0.21700001,-1.7,-6.2000003,148.16676,-19.833273
2018-10-06 03:59:59.999986560,0.59400004,3.1299999,59.0,0.21700001,-1.7,-6.2000003,148.16676,-19.833273
2018-10-06 05:00:00.000013440,0.59800005,3.1499999,59.0,0.21700001,-1.7,-5.9,148.16676,-19.833273
2018-10-06 06:00:00.000000000,0.586,3.1799998,59.0,0.21700001,-1.6,-5.5,148.16676,-19.833273
2018-10-06 06:59:59.999986560,0.56600004,3.24,59.0,0.216,-1.0,-4.9,148.16676,-19.833273
2018-10-06 08:00:00.000013440,0.544,3.3,60.0,0.215,-1.2,-4.6,148.16676,-19.833273
2018-10-06 09:00:00.000000000,0.53000003,3.33,60.0,0.21400002,-1.4,-4.5,148.16676,-19.833273
2018-10-06 09:59:59.999986560,0.52000004,3.35,61.0,0.21300001,-1.9,-4.2000003,148.16676,-19.833273
2018-10-06 11:00:00.000013440,0.514,3.37,61.0,0.21200001,-2.1000001,-3.8,148.16676,-19.833273
2018-10-06 12:00:00.000000000,0.50600004,3.4099998,61.0,0.21200001,-2.3,-3.4,148.16676,-19.833273
2018-10-06 12:59:59.999986560,0.5,3.4299998,61.0,0.21200001,-1.8000001,-3.7,148.16676,-19.833273
2018-10-06 14:00:00.000013440,0.49400002,3.47,62.0,0.21200001,-1.7,-3.1000001,148.16676,-19.833273
2018-10-06 15:00:00.000000000,0.48600003,3.51,62.0,0.21300001,-2.1000001,-2.7,148.16676,-19.833273
2018-10-06 15:59:59.999986560,0.48000002,3.53,62.0,0.21400002,-2.7,-2.5,148.16676,-19.833273
2018-10-06 17:00:00.000013440,0.47400004,3.54,62.0,0.215,-2.9,-2.3,148.16676,-19.833273
2018-10-06 18:00:00.000000000,0.46600002,3.55,62.0,0.21700001,-2.9,-2.2,148.16676,-19.833273
2018-10-06 18:59:59.999986560,0.45800003,3.57,75.0,0.106000006,-1.8000001,-2.0,148.16676,-19.833273
2018-10-06 20:00:00.000013440,0.45000002,3.59,75.0,0.105000004,-1.7,-2.0,148.16676,-19.833273
2018-10-06 21:00:00.000000000,0.44200003,3.61,72.0,0.104,-1.6,-1.8000001,148.16676,-19.833273
2018-10-06 21:59:59.999986560,0.43400002,3.62,72.0,0.10300001,-1.6,-2.0,148.16676,-19.833273
2018-10-06 23:00:00.000013440,0.42600003,3.6399999,72.0,0.102000006,-1.7,-2.2,148.16676,-19.833273
2018-10-07 00:00:00.000000000,0.418,3.6599998,72.0,0.101,-2.0,-2.8,148.16676,-19.833273
2018-10-07 00:59:59.999986560,0.41400003,3.6699998,72.0,0.101,-2.2,-3.0,148.16676,-19.833273
2018-10-07 02:00:00.000013440,0.41400003,3.53,72.0,0.1,-3.0,-4.1,148.16676,-19.833273
2018-10-07 03:00:00.000000000,0.44200003,2.99,72.0,0.1,-3.8,-5.0,148.16676,-19.833273
2018-10-07 03:59:59.999986560,0.49,2.82,72.0,0.1,-4.0,-5.2000003,148.16676,-19.833273
2018-10-07 05:00:00.000013440,0.53000003,2.85,72.0,0.1,-4.2000003,-5.3,148.16676,-19.833273
2018-10-07 06:00:00.000000000,0.558,2.87,39.0,0.303,-4.2000003,-5.2000003,148.16676,-19.833273
2018-10-07 06:59:59.999986560,0.56200004,2.8999999,45.0,0.289,-4.4,-4.2000003,148.16676,-19.833273
2018-10-07 08:00:00.000013440,0.54200006,2.95,46.0,0.275,-4.1,-3.3,148.16676,-19.833273
2018-10-07 09:00:00.000000000,0.51600003,3.02,53.0,0.266,-3.8,-2.6000001,148.16676,-19.833273
2018-10-07 09:59:59.999986560,0.49600002,3.06,53.0,0.26000002,-4.0,-2.3,148.16676,-19.833273
2018-10-07 11:00:00.000013440,0.48400003,3.07,53.0,0.256,-4.2000003,-2.0,148.16676,-19.833273
2018-10-07 12:00:00.000000000,0.47800002,3.08,53.0,0.25500003,-4.3,-1.7,148.16676,-19.833273
2018-10-07 12:59:59.999986560,0.48000002,3.05,52.0,0.256,-4.1,-2.6000001,148.16676,-19.833273
2018-10-07 14:00:00.000013440,0.48800004,3.03,51.0,0.25800002,-4.0,-2.9,148.16676,-19.833273
2018-10-07 15:00:00.000000000,0.504,3.01,49.0,0.261,-3.8,-3.3,148.16676,-19.833273
2018-10-07 15:59:59.999986560,0.518,3.05,47.0,0.261,-3.4,-3.0,148.16676,-19.833273
2018-10-07 17:00:00.000013440,0.528,3.12,46.0,0.25800002,-3.1000001,-2.8,148.16676,-19.833273
2018-10-07 18:00:00.000000000,0.53800005,3.1999998,45.0,0.25500003,-2.8,-2.5,148.16676,-19.833273
2018-10-07 18:59:59.999986560,0.544,3.29,45.0,0.25,-2.4,-2.5,148.16676,-19.833273
2018-10-07 20:00:00.000013440,0.54800004,3.36,50.0,0.24300002,-2.1000001,-2.5,148.16676,-19.833273
2018-10-07 21:00:00.000000000,0.55,3.4199998,50.0,0.23900001,-2.1000001,-2.5,148.16676,-19.833273
2018-10-07 21:59:59.999986560,0.546,3.46,50.0,0.23700002,-2.2,-3.0,148.16676,-19.833273
2018-10-07 23:00:00.000013440,0.54200006,3.48,50.0,0.23500001,-2.3,-3.3,148.16676,-19.833273
2018-10-08 00:00:00.000000000,0.53800005,3.4499998,50.0,0.23500001,-2.5,-3.8,148.16676,-19.833273
2018-10-08 00:59:59.999986560,0.532,3.3999999,50.0,0.23400001,-2.6000001,-3.8,148.16676,-19.833273
2018-10-08 02:00:00.000013440,0.528,3.3,50.0,0.23400001,-3.0,-4.2000003,148.16676,-19.833273
2018-10-08 03:00:00.000000000,0.532,3.1399999,50.0,0.23500001,-3.2,-4.8,148.16676,-19.833273
2018-10-08 03:59:59.999986560,0.536,3.05,50.0,0.23500001,-3.2,-4.9,148.16676,-19.833273
2018-10-08 05:00:00.000013440,0.53400004,3.02,51.0,0.23600002,-3.4,-4.8,148.16676,-19.833273
2018-10-08 06:00:00.000000000,0.526,3.01,51.0,0.23700002,-3.5,-4.4,148.16676,-19.833273
2018-10-08 06:59:59.999986560,0.5,3.1,52.0,0.238,-3.3,-3.1000001,148.16676,-19.833273
2018-10-08 08:00:00.000013440,0.47400004,3.1899998,54.0,0.23900001,-3.4,-2.7,148.16676,-19.833273
2018-10-08 09:00:00.000000000,0.45600003,3.23,55.0,0.23900001,-3.7,-2.3,148.16676,-19.833273
2018-10-08 09:59:59.999986560,0.448,3.1399999,56.0,0.24000001,-4.2000003,-2.5,148.16676,-19.833273
2018-10-08 11:00:00.000013440,0.45800003,2.96,58.0,0.24100001,-4.7000003,-2.6000001,148.16676,-19.833273
2018-10-08 12:00:00.000000000,0.48400003,2.8899999,59.0,0.245,-5.1,-2.8,148.16676,-19.833273
2018-10-08 12:59:59.999986560,0.51000005,2.8999999,51.0,0.257,-4.5,-3.4,148.16676,-19.833273
2018-10-08 14:00:00.000013440,0.532,2.9399998,50.0,0.264,-3.9,-3.3,148.16676,-19.833273
2018-10-08 15:00:00.000000000,0.544,3.01,49.0,0.263,-3.3,-3.2,148.16676,-19.833273
2018-10-08 15:59:59.999986560,0.55200005,3.08,49.0,0.259,-2.9,-3.2,148.16676,-19.833273
2018-10-08 17:00:00.000013440,0.55600005,3.1399999,49.0,0.256,-2.4,-3.2,148.16676,-19.833273
2018-10-08 18:00:00.000000000,0.55600005,3.21,49.0,0.252,-2.2,-3.1000001,148.16676,-19.833273
2018-10-08 18:59:59.999986560,0.55600005,3.28,55.0,0.246,-1.9,-2.7,148.16676,-19.833273
2018-10-08 20:00:00.000013440,0.55200005,3.34,55.0,0.24100001,-2.0,-2.3,148.16676,-19.833273
2018-10-08 21:00:00.000000000,0.546,3.3999999,56.0,0.23700002,-2.0,-2.1000001,148.16676,-19.833273
2018-10-08 21:59:59.999986560,0.54,3.4499998,57.0,0.23500001,-2.1000001,-2.4,148.16676,-19.833273
2018-10-08 23:00:00.000013440,0.532,3.49,57.0,0.23300001,-2.0,-2.8,148.16676,-19.833273
2018-10-09 00:00:00.000000000,0.52400005,3.53,57.0,0.23200001,-1.8000001,-3.3,148.16676,-19.833273
2018-10-09 00:59:59.999986560,0.51600003,3.54,58.0,0.23,-1.5,-3.8,148.16676,-19.833273
2018-10-09 02:00:00.000013440,0.51000005,3.5,58.0,0.22900002,-1.6,-4.3,148.16676,-19.833273
2018-10-09 03:00:00.000000000,0.50600004,3.4099998,58.0,0.22700001,-1.8000001,-4.5,148.16676,-19.833273
2018-10-09 03:59:59.999986560,0.504,3.33,59.0,0.22500001,-2.1000001,-4.5,148.16676,-19.833273
2018-10-09 05:00:00.000013440,0.5,3.27,63.0,0.224,-2.4,-4.6,148.16676,-19.833273
2018-10-09 06:00:00.000000000,0.49400002,3.23,64.0,0.223,-2.6000001,-4.5,148.16676,-19.833273
2018-10-09 06:59:59.999986560,0.48200002,3.22,65.0,0.22200002,-2.8,-4.1,148.16676,-19.833273
2018-10-09 08:00:00.000013440,0.47200003,3.23,65.0,0.22100002,-3.1000001,-3.7,148.16676,-19.833273
2018-10-09 09:00:00.000000000,0.462,3.1999998,66.0,0.22000001,-3.4,-3.3,148.16676,-19.833273
2018-10-09 09:59:59.999986560,0.45800003,3.1599998,66.0,0.22000001,-3.7,-3.0,148.16676,-19.833273
2018-10-09 11:00:00.000013440,0.45600003,3.12,66.0,0.22000001,-3.9,-2.8,148.16676,-19.833273
2018-10-09 12:00:00.000000000,0.46,3.1,66.0,0.21900001,-3.8,-2.9,148.16676,-19.833273
2018-10-09 12:59:59.999986560,0.462,3.12,65.0,0.22000001,-2.8,-3.3,148.16676,-19.833273
2018-10-09 14:00:00.000013440,0.46600002,3.1,65.0,0.22200002,-2.6000001,-3.9,148.16676,-19.833273
2018-10-09 15:00:00.000000000,0.48000002,3.04,59.0,0.22700001,-2.3,-4.4,148.16676,-19.833273
2018-10-09 15:59:59.999986560,0.49800003,3.03,57.0,0.24300002,-1.6,-4.4,148.16676,-19.833273
2018-10-09 17:00:00.000013440,0.51600003,3.06,47.0,0.254,-1.0,-4.4,148.16676,-19.833273
2018-10-09 18:00:00.000000000,0.53000003,3.11,46.0,0.252,-0.6,-4.3,148.16676,-19.833273
2018-10-09 18:59:59.999986560,0.54200006,3.1699998,46.0,0.24800001,-0.90000004,-3.9,148.16676,-19.833273
2018-10-09 20:00:00.000013440,0.546,3.24,53.0,0.24300002,-0.90000004,-3.5,148.16676,-19.833273
2018-10-09 21:00:00.000000000,0.546,3.29,54.0,0.23900001,-1.2,-3.3,148.16676,-19.833273
2018-10-09 21:59:59.999986560,0.54,3.34,54.0,0.23700002,-1.5,-3.3,148.16676,-19.833273
2018-10-09 23:00:00.000013440,0.532,3.36,55.0,0.23500001,-1.8000001,-3.5,148.16676,-19.833273
2018-10-10 00:00:00.000000000,0.52400005,3.35,55.0,0.23400001,-2.0,-3.8,148.16676,-19.833273
2018-10-10 00:59:59.999986560,0.51600003,3.35,56.0,0.23300001,-1.4,-4.1,148.16676,-19.833273
2018-10-10 02:00:00.000013440,0.512,3.29,56.0,0.23200001,-1.7,-4.6,148.16676,-19.833273
2018-10-10 03:00:00.000000000,0.51000005,3.21,56.0,0.231,-1.7,-4.8,148.16676,-19.833273
2018-10-10 03:59:59.999986560,0.50600004,3.1999998,56.0,0.23,-1.4,-4.7000003,148.16676,-19.833273
2018-10-10 05:00:00.000013440,0.49600002,3.25,56.0,0.22800002,-1.1,-4.5,148.16676,-19.833273
2018-10-10 06:00:00.000000000,0.48400003,3.35,56.0,0.22600001,-0.7,-4.2000003,148.16676,-19.833273
2018-10-10 06:59:59.999986560,0.476,3.4099998,62.0,0.224,-0.8,-4.4,148.16676,-19.833273
2018-10-10 08:00:00.000013440,0.46800002,3.46,62.0,0.22200002,-0.6,-4.2000003,148.16676,-19.833273
2018-10-10 09:00:00.000000000,0.462,3.51,62.0,0.22100002,-0.7,-4.1,148.16676,-19.833273
2018-10-10 09:59:59.999986560,0.45800003,3.51,62.0,0.21900001,-1.4,-4.1,148.16676,-19.833273
2018-10-10 11:00:00.000013440,0.45800003,3.46,62.0,0.21800001,-1.7,-3.9,148.16676,-19.833273
2018-10-10 12:00:00.000000000,0.46,3.4099998,62.0,0.21700001,-1.6,-3.8,148.16676,-19.833273
2018-10-10 12:59:59.999986560,0.462,3.3799999,62.0,0.21700001,-0.8,-4.1,148.16676,-19.833273
2018-10-10 14:00:00.000013440,0.46800002,3.37,62.0,0.216,-0.4,-4.2000003,148.16676,-19.833273
2018-10-10 15:00:00.000000000,0.476,3.33,62.0,0.216,-0.5,-4.4,148.16676,-19.833273
2018-10-10 15:59:59.999986560,0.48800004,3.28,62.0,0.216,-0.8,-4.4,148.16676,-19.833273
2018-10-10 17:00:00.000013440,0.50200003,3.25,61.0,0.21700001,-0.90000004,-4.4,148.16676,-19.833273
2018-10-10 18:00:00.000000000,0.51600003,3.25,61.0,0.22000001,-0.8,-4.4,148.16676,-19.833273
2018-10-10 18:59:59.999986560,0.528,3.29,60.0,0.224,-0.4,-3.9,148.16676,-19.833273
2018-10-10 20:00:00.000013440,0.53400004,3.34,53.0,0.231,0.0,-3.8,148.16676,-19.833273
2018-10-10 21:00:00.000000000,0.53800005,3.37,53.0,0.23300001,0.2,-3.9,148.16676,-19.833273
2018-10-10 21:59:59.999986560,0.53800005,3.3799999,52.0,0.23200001,0.3,-4.1,148.16676,-19.833273
2018-10-10 23:00:00.000013440,0.536,3.36,52.0,0.231,0.3,-4.3,148.16676,-19.833273
2018-10-11 00:00:00.000000000,0.536,3.31,52.0,0.23,0.0,-4.7000003,148.16676,-19.833273
2018-10-11 00:59:59.999986560,0.53800005,3.25,52.0,0.22900002,-0.4,-5.0,148.16676,-19.833273
2018-10-11 02:00:00.000013440,0.546,3.1399999,52.0,0.22700001,-0.8,-5.6,148.16676,-19.833273
